"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"148500","occ","13664","","13105","n. gen. Sonorasaurus n. sp. thompsoni","species","68170","","Sonorasaurus thompsoni","","species","68170","Late Albian","Early Cenomanian","105.3","93.5","Ratkevich","1998","14864","Chordata","Saurischia","NO_ORDER_SPECIFIED","Brachiosauridae","Sonorasaurus","","","1","individuals","-110.418053","31.811390","","""Sonorasaurus"" site, Whetstone Mountains","","","US","Arizona","Cochise","based on nearby landmark","seconds","outcrop","southwest foothills of Whetstone Mountains, SE Arizona","gplates","101","mid","-69.09","38.67","scotese","134","mid","-74.29","32.41","seton","101","mid","-72.60","32.82","US","FED","Turney Ranch","Bisbee","","bed","","","","","","","","","","","Moderately to vertically dipping, light gray sandstone and conglomerate ridges and ledges separated by slopes of more earily weathered maroon-colored shale.","sandstone","fine,coarse,gray","lithified","","Y","","red","lithified","silty","","fluvial indet.","","""fluvial siliciclastics""","macrofossils,microfossils","","","","","","","","body,trace","poor","parautochthonous","snapshot","","-single event","preferred","","","extreme","","","","taxonomic","selective quarrying,chemical,mechanical,peel or thin section,field collection","","some macrofossils","","","R. Thompson and Arizona-Sonora Desert Museum","1994-1999","discovered by ""amateur fossil collectors""","originally thought to be a hadrosaur","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"148510","occ","34088","","13106","Vegaviidae indet.","unranked clade","361851","","Vegaviidae","","unranked clade","361851","Late Maastrichtian","","70.6","66","Agnolín et al.","2017","63548","Chordata","Aves","Anseriformes","Vegaviidae","","","","","","-56.750000","-64.283333","","Lopez de Bertodano plesiosaurs","","","AA","","","based on nearby landmark","minutes","local area","southern two thirds of Seymour Island.","gplates","803","mid","-70.67","-59.34","scotese","803","mid","-68.05","-62.67","seton","803","mid","-60.68","-62.50","AA","","Lopez de Bertodano","","","member","'molluscan units'","","","","","","","","","formation divided into 10 informal units; bottom six are <i>Rotularia</i> units lacking macrofossils; top four are molluscan units with macrofossils including vertebrates\r\nLopez de Bertodano Formation is approximately Late Maastrichtian according to Crame et al. (2004).","loosely consolidated sandy siltstones intercalated with calcareous concretions and that is all it says","siltstone","concretionary","poorly lithified","sandy","Y","""carbonate""","","lithified","","Y","marine indet.","","part of nearshore marine and coastal-deltaic series within transgressive-regressive cycle","macrofossils,mesofossils,microfossils","","","","","","","","body,concretion","","parautochthonous","","","dispersed","","","","","","","not much","taxonomic","selective quarrying,chemical,mechanical,field collection","","all microfossils,some macrofossils,difficult macrofossils","8 specimens","","","","","","terrestrial","","actively mobile","volant","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","","species","67287","Maastrichtian","","72.1","66","Perle et al.","1994","4373","Chordata","Saurischia","NO_ORDER_SPECIFIED","Alvarezsauridae","Mononykus","","","1","individuals","99.599998","43.540001","","Bugin Tsav [AMNH]","","Buguin-Tzav","MN","Omnogov","","estimated from map","2","small collection","Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia","gplates","628","mid","93.05","36.26","scotese","628","mid","88.27","40.85","seton","417","mid","98.38","46.57","MN","","Nemegt","","","group of beds","","","","","","","","","","age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds","variegated, predominately red sandstones","sandstone","red","","","Y","","","","","","terrestrial indet.","","no information given","macrofossils","","","","","","","","body","good","","","","","","","","","","","no details given","taxonomic","selective quarrying,mechanical,field collection","","some macrofossils","","","AMNH","1990s","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","","species","63705","Maastrichtian","","72.1","66","Perle et al.","1994","4373","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tarbosaurus","","","","","99.599998","43.540001","","Bugin Tsav [AMNH]","","Buguin-Tzav","MN","Omnogov","","estimated from map","2","small collection","Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia","gplates","628","mid","93.05","36.26","scotese","628","mid","88.27","40.85","seton","417","mid","98.38","46.57","MN","","Nemegt","","","group of beds","","","","","","","","","","age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds","variegated, predominately red sandstones","sandstone","red","","","Y","","","","","","terrestrial indet.","","no information given","macrofossils","","","","","","","","body","good","","","","","","","","","","","no details given","taxonomic","selective quarrying,mechanical,field collection","","some macrofossils","","","AMNH","1990s","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"148633","occ","","","13110","Dinosauria indet.","unranked clade","52775","","Dinosauria","","unranked clade","52775","Cretaceous","","145","66","Selim and Said","1993","4374","Chordata","Reptilia","","","","","","2","specimens","34.806946","23.380833","","Gabal Abraq - lower Abraq Fm.","","","EG","Al Bahr al Ahmar","","based on nearby landmark","seconds","small collection","240 km SE of Aswan","gplates","715","mid","39.67","5.22","scotese","715","mid","28.50","0.75","seton","715","mid","32.99","1.79","EG","","Abraq","","","bed","","","","","","","","","","","This formation is composed mainly of greenish grey, grey to olive grey sandstone, sandy clay and clayey sand beds. These rocks are well bedded and form parallel ridges. A conglomerate bed (1.0 m) is observed in the eastern part of this section, and is composed mainly of gravels, dark grey to dark brown, pebbles, greenish grey sandstone with dark brown to dark greenish grey matrix.","sandstone","gray,green","lithified","","Y","claystone","","","sandy","","fluvial indet.","","The Abraq Formation is considered a lateral facies change of the marine Cretaceous of Wadi Garara (Garara Formation). It is a thick sequence of clastic sediments of fluvio-marine Cretaceous.","macrofossils","","","","","","","","body","poor","","","","dispersed","","","","","","","","biostratigraphic","","","","2 specimens","","","","","","terrestrial","","actively mobile","","","","","","","phosphatic","","",""
"149328","occ","","","13142","Coeluridae ? indet.","family","53001","","Coeluridae","","family","53001","Late Maastrichtian","","70.6","66","Estes et al.","1969","4381","Chordata","Saurischia","NO_ORDER_SPECIFIED","Coeluridae","","","","","","-106.099998","47.799999","","Bug Creek Anthills","","Bug Creek, BCA, OMNH V1173","US","Montana","McCone County","based on nearby landmark","1","outcrop","NW 1/4 and SW 1/4, Sec. 9, T 22 N, R 43 E. Near Fort Peck Reservoir","gplates","101","mid","-64.03","58.34","scotese","101","mid","-79.17","54.66","seton","101","mid","-78.54","53.33","US","FED","Hell Creek","","","group of beds","","","","","","","","","","upper 1/3 of formation, 80 ft below coal bed","""a cross-bedded stram channel""","sandstone","current ripples","","","Y","","","","","","coarse channel fill","","'Coastal plain deposits'","macrofossils,mesofossils","","","","","","","","body","good","","","","","","","","","","","","taxonomic","surface (float),anthill,field collection","","some macrofossils,some microfossils","","","Univ. of Minnesota","1962-1964","","mammal fauna said to be present","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"149585","occ","38195","","13209","Lithostrotia indet.","unranked clade","71974","","Lithostrotia","","unranked clade","71974","Campanian","","83.6","72.1","Gallina and Otero","2015","76304","Chordata","Saurischia","","","","","","2","specimens","-65.266670","-24.299999","PVL 3670.12","Arroyo El Morterito (PVL)","","El Ceibal, Potrero del Nogalito","AR","Salta","Candelaria","based on political unit","seconds","outcrop","5 km from El Ceibal, Candelaria department, Salta province, within the property of Don Fidel Leal and in the vicinity of (R side of) the Arroyo El Morterito. Coordinates are for El Ceibal. At the foot of the Sierra de Candelaria or Castillejo (also described as 10 km SE of El Ceibal), on the Potrero del Nogalito (Leal family ranch).","gplates","201","mid","-43.05","-26.12","scotese","202","mid","-47.35","-26.97","seton","201","mid","-43.27","-27.63","AR","","Los Blanquitos","Salta","","bed","","","","","","","","","","details of several local stratigraphic sections given for correlative purposes. Pirgua Subgroup, upper section of formation. Earlier suggestions for age included Maastrichtian, but overlying Lecho Fm is now considered ?Campanian-Early Maastrichtian.","Friable, micaceous, grayish-red sandstone with quartz pebbles furrowed with small carbonate veins. In the base of this layer the remains of the titanosaurid dinosaur described were discovered. Above the layer with bones appears a lens of thick, greenish-gray, calcareous, very hard sandstone with pebbles and gravel. The bones were covered by a ""halo"" of the same rock but of greenish or grayish color, especially visible because the normal sediment is red. Thickness 1.5 m. (translated from Spanish by M. Carrano)","sandstone","micaceous,gray,red","lithified","conglomeratic","Y","sandstone","pebbly,gray,green","lithified","calcareous","","fluvial indet.","","depositional facies in local ""sub-basins"", but overall regional character is not described in detail. ""fluvial environment of some energy.""","macrofossils","","","","","","","","body","medium","parautochthonous","","","","","","","frequent","none","","""the eroded and fractured surfaces that are present on nearly all of them must be interpreted as the result of erosive fluvial action""\r\n(Spanish translated by M. Carrano)","biostratigraphic","selective quarrying,mechanical,field collection","","","1 individuals","","F. Leal, J. Bonaparte and crew","1966–1975","","specimen probably not assignable to Antarctosaurus as originally indicated","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"149586","occ","11815","","13210","Carnosauria indet.","infraorder","53943","","Carnosauria","","infraorder","53943","Late Maastrichtian","","70.6","66","Bonaparte et al.","1977","55175","Chordata","Saurischia","Avetheropoda","","","","","1","specimens","-65.266670","-24.299999","","Aguas Calientes, Arroyo el Morterito","","El Ceibal","AR","Salta","Candelaria","based on political unit","seconds","local area","El Ceibal, Candelaria department, Salta province, within the property of Don Fidel Leal and in the vicinity of the Arroyo El Morterito, but 5 km further north than the latter. Coordinates are for El Ceibal.","gplates","201","mid","-48.46","-25.32","scotese","202","mid","-52.39","-26.79","seton","201","mid","-48.51","-27.03","AR","","Yacoraite","Salta","","bed","","","","","","","","","","detailed stratigraphic sections described for correlative purposes","3) Reddish-brown, medium to fine sandstones, thick in the upper part and slightly conglomeratic. The calcareous cementation is only evident in the upper sector, whereas the rest is friable. In the lower third, of pink color, some small yellowish banks with gastropod remains are intercalated. It is possible to find bony remains in this entire assembly. Irregular chocolate-colored lenses of muddy-clayey texture are also intercalated. Total thickness: 12.5 m.\r\n(Translated from Spanish by M. Carrano)","sandstone","brown,red,yellow","lithified","conglomeratic,calcareous","Y","mudstone","brown","","","","terrestrial indet.","","depositional facies in local ""sub-basins"", but regional geologic setting not described.","macrofossils","","","","","","","","body","poor","","","","dispersed","","","","","","","","biostratigraphic","field collection","","","2 individuals","","","1975","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"149592","occ","","","13212","n. gen. Creosaurus n. sp. atrox","species","52970","subjective synonym of","Allosaurus fragilis","","species","52962","Kimmeridgian","Tithonian","157.3","145","Marsh","1878","7813","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Allosaurus","","","2","individuals","-106.041000","41.893101","YPM 1890","Quarry 1, Como Bluff (YPM)","","WY-21","US","Wyoming","Albany","stated in text","4","small collection","SW 1/4 of SW 1/4 of sec. 10, T22N, R77W, Como Bluff, Albany Co., WY","gplates","101","mid","-40.48","28.58","scotese","101","mid","-53.31","37.85","seton","101","mid","-42.36","31.82","US","","Morrison","","","bed","","","","","","","","","","referred to in paper as ""Atlantosaurus Beds"" and ""Como Beds""; upper middle part of formation","","claystone","","","","Y","","","","","","wet floodplain","","poorly drained floodplain","macrofossils,mesofossils","","","","","","","","body","good","","","","","","","","occasional","","","","general faunal/floral","selective quarrying,mechanical,field collection","YPM","","","","W. Reed, W. Carlin, & S. Williston","1877–1878, 1887","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"149596","occ","","","13214","Creosaurus atrox","species","52970","subjective synonym of","Allosaurus fragilis","","species","52962","Kimmeridgian","Tithonian","157.3","145","Williston","1901","4387","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Allosaurus","","","1","individuals","-106.389999","42.035831","","Freeze Out Mtns. Kansas Univ. Expedition","","Freezeout Hills Quarry","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co.","gplates","101","mid","-40.71","28.79","scotese","101","mid","-53.60","38.04","seton","101","mid","-42.56","32.06","US","FED","Morrison","","","group of beds","","","","","","","","","","referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","","species","52962","Kimmeridgian","Tithonian","157.3","145","Williston","1901","4387","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Allosaurus","","","","","-106.389999","42.035831","","Freeze Out Mtns. Kansas Univ. Expedition","","Freezeout Hills Quarry","US","Wyoming","Converse","based on nearby landmark","seconds","outcrop","unspecified locality in the Freeze Out Mountains, Converse Co.","gplates","101","mid","-40.71","28.79","scotese","101","mid","-53.60","38.04","seton","101","mid","-42.56","32.06","US","FED","Morrison","","","group of beds","","","","","","","","","","referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
